SK_ID_CURR,TARGET
100001,0.011029868624276991
100005,0.13308389136929247
100013,0.008891382932779978
100028,0.015631282099033413
100038,0.08094220895304975
100042,0.015538677411407194
100057,0.002359468008156894
100065,0.024735259797016233
100066,0.002832905257463635
100067,0.0520013796349037
100074,0.04884572408702653
100090,0.02092886055165692
100091,0.07127009625836028
100092,0.024394360262326175
100106,0.01730975007860336
100107,0.15136508803736154
100109,0.02326297772765668
100117,0.007746800654282427
100128,0.017634700788021807
100141,0.021944629098585675
100150,0.015578617942129929
100168,0.002762825108031076
100169,0.010180089004451543
100170,0.14483280907063822
100171,0.08815171804975064
100172,0.11450017959735093
100184,0.04623124201122462
100187,0.039730849188567126
100212,0.010781285283571626
100222,0.04242733860688916
100223,0.009833351695310738
100232,0.00421532161974657
100241,0.13494981623005967
100245,0.014781060797803282
100253,0.01085603829214461
100256,0.022845552141675773
100271,0.002679050519123957
100278,0.5458446742352422
100280,0.0035450914806664877
100306,0.22223947216756967
100311,0.06847712060609036
100312,0.0032550228732427114
100330,0.07620861238200802
100331,0.017384719589308654
100352,0.11248417036236821
100358,0.01502413997918699
100367,0.006025079640729715
100382,0.04128244361039744
100384,0.1173497385557204
100385,0.036376580375834196
100386,0.021400864972180075
100399,0.030802249921238152
100404,0.015342887572936347
100416,0.0032369544106346437
100422,0.011160254406374024
100426,0.014121076723422445
100438,0.017803151113068176
100444,0.07553610625757572
100445,0.10068946586312935
100446,0.04544906356021118
100447,0.01716008679589189
100450,0.13015884609008124
100466,0.0059942881054384535
100483,0.012408839036944027
100484,0.005690273893914895
100494,0.023695432697070445
100510,0.12263568345404982
100512,0.005756968498931849
100517,0.013528898846967537
100548,0.00700062921860983
100551,0.02527250699509554
100552,0.039082052138120466
100553,0.005624249068144919
100561,0.05863572486218848
100568,0.31366865024750273
100569,0.0060944955724307704
100591,0.0733980388793419
100592,0.00566897926356616
100602,0.011346856574669124
100607,0.035785057530175746
100613,0.041199311879020276
100617,0.05727066475155055
100618,0.032043082237497814
100622,0.028016409131686584
100625,0.05654428792429761
100677,0.02605668785931564
100699,0.02051522205469702
100702,0.31258471319984915
100711,0.007720095792142974
100729,0.07036207862044477
100740,0.11884819158825076
100744,0.07786267981368464
100745,0.02167730753017551
100747,0.06262867444567627
100751,0.37604567827119645
100752,0.007330931760343173
100753,0.1296419429847976
100754,0.1318784369775987
100760,0.018722143520126865
100762,0.03811412570826305
100763,0.013872794423817166
100765,0.004098025912767607
100770,0.05800002131957334
100772,0.009358325396831546
100777,0.013282464816023463
100791,0.009635399625519183
100792,0.0029272894220789204
100797,0.01899263978093921
100823,0.02809267243725434
100826,0.010835679548438348
100830,0.006888145668367642
100836,0.11405640816936474
100872,0.049419013178522736
100910,0.024082527619974318
100913,0.05058884557354843
100918,0.0010186386730680532
100931,0.0025373187078242885
100952,0.041815099165118656
100953,0.0083136200222116
100965,0.08800886388882663
100970,0.014190804139959781
100982,0.20207416362292693
